file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2015-P-D-B02-2-R-02_0057_356353_to_359872,ཆགས་རེད་ད་རཱ། ཨ་ནས་རྗེས་ལ་ཁོ། ཡང་ཁོ་ལ་ཡང་དྲན་རེད་ད།  ,chags red da rA/_a nas rjes la kho/_yang kho la yang dran red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-P-D-B02-2-R-02_0057_356353_to_359872.wav,STT_CS,3,53,3.519,wav16k/STT_CS-D-2015-P-D-B02-2-R-02_0057_356353_to_359872.wav,ཆགས་རེད་ད་རཱ། ཨ་ནས་རྗེས་ལ་ཁོ། ཡང་ཁོ་ལ་ཡང་དྲོན་རེད་ད།
STT_TT00035_09470.850-09473.800,འདུ་བྱས་ཀི་རྟེན་འབྱུང་གི། ཨོ། ཆོས་དེ་རྣམས།  ,'du byas ki rten 'byung gi/_o/_chos de rnams/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00035_09470.850-09473.800.wav,STT_TT,3,44,2.9499999999989086,wav16k/STT_TT00035_09470.850-09473.800.wav,འདུས་བྱས་ཀི་རྟེན་འབྱུང་གི ཨོ་ཆོས་དེ་རྣམས།
STT_TT00036_00388.050-00390.050,གང་ལྟར་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བས།  ,gang ltar rten cing 'brel bar 'byung bas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00036_00388.050-00390.050.wav,STT_TT,3,36,2.0,wav16k/STT_TT00036_00388.050-00390.050.wav,གང་ལྟར་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བའི།
STT_CS-D-2018-P-D-B01-0-T-01a_0033_226399_to_235605,རྣམ་པ་ཚོ་ཞལ་ལག་མཆོད་ཀ་ཕེབས། ཧ་གོ་སོང་ངེ་། ཁྱོས་ཁོ་ལ་བྱས། ངས་བྱེད་དགོ་ངས་བྱེད་དགོ་དུག་སློག་བཙོག་པ་བཟོ་ཡི་རེད།  ,rnam pa tsho zhal lag mchod ka phebs/_ha go song nge /_khyos kho la byas/_ngas byed dgo ngas byed dgo dug slog btsog pa bzo yi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2018-P-D-B01-0-T-01a_0033_226399_to_235605.wav,STT_CS,3,110,9.206,wav16k/STT_CS-D-2018-P-D-B01-0-T-01a_0033_226399_to_235605.wav,ས་ར་ཅི་་།་བྱ། ཧ་ག་པོ་སོང་ངེ་། ཁྱོད་ཁོ་རང་མི། ྙས་བཅུད་དགོ། ྙས་བཅེ་དགོཁད་་ཟ།
STT_CS-D-2018-P-D-B01-0-T-01a_0030_192175_to_200742,འོ་སྒོ་ང་བཞེས་ཨ། མ་བྱེད་དང་། རློན་པ་རློན་པ་ཕར་ཁྱེར་ཤིག ཨ་མ་ཨེ་འདྲའི་མ་བྱེད་དང་།  ,'o sgo nga bzhes a/_ma byed dang /_rlon pa rlon pa phar khyer shig_a ma e 'dra'i ma byed dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2018-P-D-B01-0-T-01a_0030_192175_to_200742.wav,STT_CS,3,81,8.567,wav16k/STT_CS-D-2018-P-D-B01-0-T-01a_0030_192175_to_200742.wav,་་བྱད་་། མ་བྱེད་དང། ་པ་ལག་མ་ཁ་ྱི་ཤོག ་མ་སུ་རྨོ་མ་སུ་་ཤོག།
STT_CS-D-2016-M-D-B02-2-R-06_0126_1247843_to_1250062,ཨེ་ནས་བུ་དམར་པོ་གོན་མཁན་དེ་ཤིང་གཏུབ།  ,e nas bu dmar po gon mkhan de shing gtub/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2016-M-D-B02-2-R-06_0126_1247843_to_1250062.wav,STT_CS,3,38,2.219,wav16k/STT_CS-D-2016-M-D-B02-2-R-06_0126_1247843_to_1250062.wav,ཨེ་ནས་བུ་དམར་པོ་གོན་མཁན་དེས་ཤིང་གཏུབ།
STT_TT00039_02512.400-02512.950,གཉེན་ཉེ།  ,gnyen nye/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00039_02512.400-02512.950.wav,STT_TT,3,10,0.5499999999997272,wav16k/STT_TT00039_02512.400-02512.950.wav,གཉེན་ཉེ་ད་
STT_CS-D-2014-M-D-B05-3-T-02_0027_176032_to_182766,རྨོ་རྨོ་དེས་ལམ་ཁ་ལ་འགྲོ་དུས་སྐབས་ལ་དང་། ཆ་ཚང་ལ་རོགས་པ་བྱེད་ཀི་ཡོད་རེད་ད་རཱ། ཉིན་མ་གཅིག་ཁོ་ཡི་ནང་ལ་ཡོད་པ་སྐྱེས་དམན་བསླེབ་རེད།  ,rmo rmo des lam kha la 'gro dus skabs la dang /_cha tshang la rogs pa byed ki yod red da rA/_nyin ma gcig kho yi nang la yod pa skyes dman bsleb red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0027_176032_to_182766.wav,STT_CS,3,126,6.734,wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0027_176032_to_182766.wav,རྨོ་མོ་དེ་ལམ་ཁ་ལ་འགྲོ་དུས་སྐབས་ལ་དང་། ཆ་ཚང་ལ་རོགས་པ་བྱེད་ཀྱི་ཡོད་རེད་ད་རཱ། ཉིན་མ་གཅིག་ཁོ་གི་ནང་ལ་ཡོད་བ་སྐྱེས་སྨན་སླེབས་རེད།
STT_CS-D-2014-M-D-B05-3-T-02_0136_896885_to_905755,ཡང་སྒང་ལ་འགྲོ་རེད་ད། སྒང་ལ་འགྲོ་འོག་ལ་འགྲོ་བྱས་རེད་ད། ཨེ་ནས་ཡོད་བ། ཁོ་ཆུ་བརྒལ་སྡོད་དུས་སྐབས་སུ་ཆུ་ནང་ལ་དིམ་རེད་ད། ཨ་ང་སྐྱོབས།  ,yang sgang la 'gro red da/_sgang la 'gro 'og la 'gro byas red da/_e nas yod ba/_kho chu brgal sdod dus skabs su chu nang la dim red da/_a nga skyobs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0136_896885_to_905755.wav,STT_CS,3,127,8.87,wav16k/STT_CS-D-2014-M-D-B05-3-T-02_0136_896885_to_905755.wav,ཡང་སྒང་ལ་འགྲོ་རེད་ད། སྒང་ལ་འགྲོ་འོག་ལ་འགྲོ་བྱས་རེད་ད། ཨེ་ནས་ཡོད་བ། ཁོ་ཆུ་རྒྱལ་བསྡད་དུས་སྐབས་སུ། ཁོ་ཆུ་ནང་འདིམ་རེད་ད། ཨ་ང་སྐྱོབ།
STT_CS-L-2016_2016-M_M-D_D-B02_B02-2_2-R-02_0128_1502628_to_1506541,ཨོཾ་མུ་ནི་མུ་ནི་མཧཱ་མུ་ནི་མཧཱ་མུ་ནི་ཡ་སྭཱཧཱ། ཨ་ཡོ་ཀེ ,oM mu ni mu ni mahA mu ni mahA mu ni ya swAhA/_a yo ke_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2016-M_M-D_D-B02_B02-2_2-R-02_0128_1502628_to_1506541.wav,STT_CS,3,53,3.913,wav16k/STT_CS-L-2016_2016-M_M-D_D-B02_B02-2_2-R-02_0128_1502628_to_1506541.wav,ཨོཾ་་ན་་མུ་ན་ཱ་ཨཱ་མ་ན་མཱ་ཨུ་མ་། ཨ་ཡོ་ཀྱེ།
STT_NS_M0231_0368_2250452_to_2254364,ཁྱེད་རང་གིས་ངའང་དེ་འདྲའི་བྱེད་ཀི་ཡོད། མོ་པེ་དེ་འདྲའི་བྱེད་ཀི་འདུག་ལབ་བ་ཡིན་ན། དེ་འདྲའི་ལབ་བ་ཡིན་ན་སྙིང་རྗེ་།  ,khyed rang gis nga'ang de 'dra'i byed ki yod/_mo pe de 'dra'i byed ki 'dug lab ba yin na/_de 'dra'i lab ba yin na snying rje /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0231_0368_2250452_to_2254364.wav,STT_NS,3,110,3.912,wav16k/STT_NS_M0231_0368_2250452_to_2254364.wav,ཁྱེད་རང་གིས་ང་ཡང་དེ་འདྲའི་བྱེད་ཀི་ཡོད་མོ་བི་དེ་འདྲའི་བྱེད་ཀི་འདུག་ལབ་ནས། དེ་འདྲའི་ལབ་པ་ཡིན་ན་སྙིང་རྗེ་བ།
STT_TT00043_03351.900-03352.900,དེ་འདྲའི་འདྲ་བོའི་སྒོ་ནས།  ,de 'dra'i 'dra bo'i sgo nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_03351.900-03352.900.wav,STT_TT,3,27,1.0,wav16k/STT_TT00043_03351.900-03352.900.wav,དེ་འདྲའི་འདྲ་བོའི་སྒོ་ནས།
STT_CS-D-2012-P-D-B01-6-R-01_0028_278377_to_286388,ཁྱོད་ཚོས་ཞིང་ཁ་ལས་ཀ་ཅིག་བྱེད་དགོས་འདུག ང་ད་ལྟ་ནད་པ་ནད་པ་ཆགས་ཀྱི་འདུག ཨོ་དེ་བྱས་ནས་ཁྱོད་ཚོ་གཉིས་ལས་ཀ་བྱེད་རོགས་བྱིས་དང་།  ,khyod tshos zhing kha las ka cig byed dgos 'dug_nga da lta nad pa nad pa chags kyi 'dug_o de byas nas khyod tsho gnyis las ka byed rogs byis dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B01-6-R-01_0028_278377_to_286388.wav,STT_CS,3,121,8.011,wav16k/STT_CS-D-2012-P-D-B01-6-R-01_0028_278377_to_286388.wav,ཁྱོད་ཚོ་ཞིང་ཁ་ལས་ཀ་གཅིག་བྱེད་དགོས་འདུག ང་ད་ལྟ་ནད་པ་ནད་པ་ཆགས་ཀྱི་འདུག ཨོ་དེ་བྱས་ནས་ཁྱེད་ཚོ་གཉིས་ལས་ཀ་བྱེད་རོགས་བྱིས་དང་།
STT_CS-L-2017_2017-M_M-D_D-B04_B04-1_1-R_R-01_0151_1297375_to_1306639,ཨེ་ནས་བདེ་ཆེན་ཁྱོད་རཱ། བུ་མོ་ཆུང་ཆུང་ངུ་མྱི་ཨེ་འདྲའི་ལ་དགའ་བོ་ཡོད། སྤོ་སྤོ་སྐྲ་དཀར་བོ་ཨེ་འདྲའི་ལ་དགའ་བོ་ཡོད། གཉིས་ཀར་དགའ་བོ་མེད།  ,e nas bde chen khyod rA/_bu mo chung chung ngu myi e 'dra'i la dga' bo yod/_spo spo skra dkar bo e 'dra'i la dga' bo yod/_gnyis kar dga' bo med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B04-1_1-R_R-01_0151_1297375_to_1306639.wav,STT_CS,3,130,9.264,wav16k/STT_CS-L-2017_2017-M_M-D_D-B04_B04-1_1-R_R-01_0151_1297375_to_1306639.wav,ཨེ་ནས་བདེ་ཆེན་ཁྱོད་རཱ། བུ་མོ་ཆུ་ཆུང་ངུ་གཉིས་ཨེ་འདྲའི་ལ་དགའ་བོ་ཡོད། སྤོ་སྤོ་སྐྲ་དཀར་པོ་ཨེ་འདྲའི་ལ་དགའ་བོ་ཡོད། གཉིས་ཆ་གུ་གཉིས།
